Eljárás EKR azonosító,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Teljesítés helye NUTS-kód(ok),Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő neve,Fő CPV-kód(ok),A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Nyertes ajánlattevő kkv,Hirdetmény közzétételének dátuma,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,Ajánlatkérő szervezet neve - tisztított,Ajánlatkérő Cégtípus,Nyertes ajánlattevő neve - tisztított,Nyertes Cégtípus,Hirdetmény és szerződés megkötés között eltelt idő
EKR001531392019,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",12464780251,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Tanuszoda kivitelezése Mosonmagyaróváron,Építési beruházás,788155483.0,HUF,HU221,2020-12-02,4.0,26739919243,Falcon Global Zártkörűen Működő Részvénytársaság,45000000-7,Nem,Igen,Igen,2020-12-08,Igen,Nem,Igen,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",Zrt.,Falcon Global Zrt.,Zrt.,-6 days
EKR001531392019,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",12464780251,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Tanuszoda kivitelezése Mosonmagyaróváron,Építési beruházás,788155483.0,HUF,HU221,2020-12-02,4.0,"12525689241,HU12525689",Octopus Invest Szolgáltató Korlátolt Felelősségű Társaság,45000000-7,Nem,Igen,Igen,2020-12-08,Igen,Nem,Igen,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",Zrt.,Octopus Invest Kft.,Kft.,-6 days
EKR001534692019,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",12464780251,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Kézilabda munkacsarnok kivitelez. Balassagyarmaton,Építési beruházás,1166620000.0,HUF,HU313,2021-03-16,4.0,"12073601213,HU12073601",Pharos 95 Sportpályaépítő Kft.,45000000-7,Nem,Igen,Igen,2021-03-31,Igen,Nem,Igen,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",Zrt.,Pharos 95 Sportpályaépítő Kft.,Kft.,-15 days
EKR001534762019,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",12464780251,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Kézilabda munkacsarnok kivitelezése Bácsalmáson,Építési beruházás,1062482027.0,HUF,HU331,2021-01-11,3.0,"10381603203,HU10381603",Modinvest ÉpitőipariBeruházóÉs Kereskedelmi Korlátolt Felelősségű Társaság,45000000-7,Nem,Igen,Igen,2021-01-21,Igen,Nem,Igen,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",Zrt.,Modinvest Épitőipariberuházóés Kft.,Kft.,-10 days
EKR001536652019,Nif Nemzeti Infrastruktúra Fejlesztő Zártkörűen Működő Részvénytársaság,11906522241,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,"Cegléd Mérnökség irodaép. átalakítása, kivitelezés",Építési beruházás,285172140.0,HUF,HU120,2020-08-27,3.0,"23037108203,HU23037108,03-10-100434",Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság,45000000-7,Nem,Igen,Igen,2020-08-31,Igen,Nem,Igen,Nif Nemzeti Infrastruktúra Fejlesztő Zrt.,Zrt.,Horváth Építőmester Építőipari Zrt.,Zrt.,-4 days
EKR001536722019,Nif Nemzeti Infrastruktúra Fejlesztő Zártkörűen Működő Részvénytársaság,11906522241,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Monori mérnökségi telep raktárépülete átalakítása,Építési beruházás,98814656.0,HUF,HU120,2020-07-24,3.0,"23037108203,HU23037108,03-10-100434",Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság,45000000-7,Nem,Igen,Igen,2020-08-05,Igen,Nem,Igen,Nif Nemzeti Infrastruktúra Fejlesztő Zrt.,Zrt.,Horváth Építőmester Építőipari Zrt.,Zrt.,-12 days
EKR001539332019,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",12464780251,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Multicsarnok tervezése és kivitelezése Kisvárdán,Építési beruházás,3266047410.0,HUF,HU323,2020-12-31,3.0,"11724483241,HU11724483","Nyírépszer Hungária Építőipari, Kereskedelmi És Szolgáltató Kft.",45000000-7,Nem,Igen,Igen,2021-01-21,Igen,Nem,Igen,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",Zrt.,Nyírépszer Hungária Építőipari Kft.,Kft.,-21 days
EKR001541092019,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",12464780251,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Szekszárdi Vendéglátó Szakképző Iskola felújítása,Építési beruházás,988890369.0,HUF,HU233,2020-10-26,5.0,11295145217,"SzC Stúdió Építőipari, Kereskedelmi És Szolgáltató Kft.",45000000-7,Nem,Igen,Igen,2021-01-10,Igen,Nem,Igen,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",Zrt.,Szc Stúdió Építőipari Kft.,Kft.,-76 days
EKR000077602018,Budapest Főváros Vagyonkezelő Központ Zrt.,12006003241,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Hirdetmény nélküli tárgyalásos eljárás,Sújtás ltp. tetőhéjazat felújítás és karbantartás,Építési beruházás,61411838.0,HUF,HU110,2018-11-16,4.0,14188330241,Perneszy Ingatlanhasznositó Kezelő Zrt,45000000-7,Nem,Igen,Igen,2018-12-02,Igen,Nem,Igen,Budapest Főváros Vagyonkezelő Központ Zrt.,Zrt.,Perneszy Ingatlanhasznositó Kezelő Zrt.,Zrt.,-16 days
EKR000077602018,Budapest Főváros Vagyonkezelő Központ Zrt.,12006003241,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Hirdetmény nélküli tárgyalásos eljárás,Sújtás ltp. tetőhéjazat felújítás és karbantartás,Építési beruházás,61411838.0,HUF,HU110,2018-11-15,3.0,14188330241,Perneszy Ingatlanhasznositó Kezelő Zrt,45000000-7,Nem,Igen,Igen,2018-12-02,Igen,Nem,Igen,Budapest Főváros Vagyonkezelő Központ Zrt.,Zrt.,Perneszy Ingatlanhasznositó Kezelő Zrt.,Zrt.,-17 days
