Eljárás EKR azonosító,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Teljesítés helye NUTS-kód(ok),Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő neve,Fő CPV-kód(ok),A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Nyertes ajánlattevő kkv,Hirdetmény közzétételének dátuma,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,Ajánlatkérő szervezet neve - tisztított,Ajánlatkérő Cégtípus,Nyertes ajánlattevő neve - tisztított,Nyertes Cégtípus,Hirdetmény és szerződés megkötés között eltelt idő,procurement_id
EKR001536652019,Nif Nemzeti Infrastruktúra Fejlesztő Zártkörűen Működő Részvénytársaság,11906522241,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,"Cegléd Mérnökség irodaép. átalakítása, kivitelezés",Építési beruházás,285172140.0,HUF,HU120,2020-08-27,3.0,"23037108203,HU23037108,03-10-100434",Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság,45000000-7,Nem,Igen,Igen,2020-08-31,Igen,Nem,Igen,Nif Nemzeti Infrastruktúra Fejlesztő Zrt.,Zrt.,Horváth Építőmester Építőipari Zrt.,Zrt.,-4 days,EKR001536652019_Horváth Építőmester Építőipari Zrt.
EKR001536722019,Nif Nemzeti Infrastruktúra Fejlesztő Zártkörűen Működő Részvénytársaság,11906522241,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Monori mérnökségi telep raktárépülete átalakítása,Építési beruházás,98814656.0,HUF,HU120,2020-07-24,3.0,"23037108203,HU23037108,03-10-100434",Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság,45000000-7,Nem,Igen,Igen,2020-08-05,Igen,Nem,Igen,Nif Nemzeti Infrastruktúra Fejlesztő Zrt.,Zrt.,Horváth Építőmester Építőipari Zrt.,Zrt.,-12 days,EKR001536722019_Horváth Építőmester Építőipari Zrt.
EKR001540132019,Sajólád Község Önkormányzata,15726078205,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Építési beruházások Sajóládon,Építési beruházás,167776678.0,HUF,HU311,2020-01-15,2.0,13416058205,DGesztor Építő És Acélszerkezet Gyártó Kft,45000000-7,Igen,Igen,Igen,2020-01-21,Igen,Nem,Igen,Sajólád Község Önkormányzata,,Dgesztor Építő És Acélszerkezet Gyártó Kft.,Kft.,-6 days,EKR001540132019_Dgesztor Építő És Acélszerkezet Gyártó Kft.
EKR001544392019,Budapest Főváros Xxiii. Kerület Soroksár Önkormányzata,15735863243,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Keretmegállapodás keretében útépítési munkák II.,Építési beruházás,820956925.0,HUF,HU110,2020-02-04,2.0,"10683833244,HU10683833,01-09-208325","HeDo Útépítő, Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság",45000000-7,Nem,Igen,Igen,2020-02-25,Igen,Nem,Igen,Budapest Főváros Xxiii. Kerület Soroksár Önkormányzata,,Hedo Útépítő Kft.,Kft.,-21 days,EKR001544392019_Hedo Útépítő Kft.
EKR001558632019,Debreceni Egyetem,15329750409,U - Egyéb típus:,KL - Oktatás,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),DEK-855_Családbarát ellátás infr. felt. fejleszt.,Építési beruházás,196805483.0,HUF,HU321,2020-04-03,2.0,"22757937209,HU22757937",Tömb 2002 Szolgáltató Korlátolt Felelősségű Társaság,45210000-2,Nem,Igen,Igen,2020-04-07,Igen,Nem,Igen,Debreceni Egyetem,,Tömb 2002 Kft.,Kft.,-4 days,EKR001558632019_Tömb 2002 Kft.
EKR001563522019,Győri Szakképzési Centrum,15831952208,N - Regionális/helyi szintű,KL - Oktatás,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Győri SZC-Lukács - csatornahálózat kivitelezés,Építési beruházás,284758148.0,HUF,HU221,2020-05-12,2.0,"11705053444,01-09-930940",Strabag Általános Építő Korlátolt Felelősségű Társaság,45232400-6,Nem,Igen,Nem,2020-05-14,Igen,Nem,Igen,Győri Szakképzési Centrum,,Strabag Általános Építő Kft.,Kft.,-2 days,EKR001563522019_Strabag Általános Építő Kft.
EKR001563692019,Budapest Főváros Xii. Kerület Hegyvidéki Önkormányzat,EKRSZ_86128665,U - Regionális vagy helyi iroda/hivatal,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Mélyépítés keretmegállapodás,Építési beruházás,151025207.0,HUF,HU110,2020-11-24,1.0,10452556244,Penta Általános Építőipari Korlátolt Felelősségű Társaság,45221250-9,Nem,Igen,Igen,2021-01-13,Igen,Nem,Igen,Budapest Főváros Xii. Kerület Hegyvidéki Önkormányzat,,Penta Általános Építőipari Kft.,Kft.,-50 days,EKR001563692019_Penta Általános Építőipari Kft.
EKR001563692019,Budapest Főváros Xii. Kerület Hegyvidéki Önkormányzat,EKRSZ_86128665,U - Regionális vagy helyi iroda/hivatal,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Mélyépítés keretmegállapodás,Építési beruházás,701074203.0,HUF,HU110,2021-08-27,1.0,10452556244,Penta Általános Építőipari Korlátolt Felelősségű Társaság,45221250-9,Nem,Igen,Igen,2021-10-11,Igen,Nem,Igen,Budapest Főváros Xii. Kerület Hegyvidéki Önkormányzat,,Penta Általános Építőipari Kft.,Kft.,-45 days,EKR001563692019_Penta Általános Építőipari Kft.
EKR001563692019,Budapest Főváros Xii. Kerület Hegyvidéki Önkormányzat,EKRSZ_86128665,U - Regionális vagy helyi iroda/hivatal,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Mélyépítés keretmegállapodás,Építési beruházás,315607906.0,HUF,HU110,2021-10-12,1.0,10452556244,Penta Általános Építőipari Korlátolt Felelősségű Társaság,45221250-9,Nem,Igen,Igen,2022-01-10,Igen,Nem,Igen,Budapest Főváros Xii. Kerület Hegyvidéki Önkormányzat,,Penta Általános Építőipari Kft.,Kft.,-90 days,EKR001563692019_Penta Általános Építőipari Kft.
EKR001563692019,Budapest Főváros Xii. Kerület Hegyvidéki Önkormányzat,EKRSZ_86128665,U - Regionális vagy helyi iroda/hivatal,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Mélyépítés keretmegállapodás,Építési beruházás,159471196.0,HUF,HU110,2022-02-18,1.0,10452556244,Penta Általános Építőipari Korlátolt Felelősségű Társaság,45221250-9,Nem,Igen,Igen,2022-04-12,Igen,Nem,Igen,Budapest Főváros Xii. Kerület Hegyvidéki Önkormányzat,,Penta Általános Építőipari Kft.,Kft.,-53 days,EKR001563692019_Penta Általános Építőipari Kft.
