Eljárás EKR azonosító,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Teljesítés helye NUTS-kód(ok),Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő neve,Fő CPV-kód(ok),A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Nyertes ajánlattevő kkv,Hirdetmény közzétételének dátuma,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,Ajánlatkérő szervezet neve - tisztított,Ajánlatkérő Cégtípus,Nyertes ajánlattevő neve - tisztított,Nyertes Cégtípus,Hirdetmény és szerződés megkötés között eltelt idő
EKR001540992019,Innovációs És Technológiai Minisztérium,15764412241,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Kormányzati médiamonitor szolgáltatás (2020-2022),Szolgáltatás megrendelés,5001960000.0,HUF,HU110,2020-02-17,1.0,"10688515242,HU10688515,01-09-161465",Observer Budapest Médiafigyelő Kft.,79400000-8,Nem,Igen,Igen,2020-02-26,Igen,Nem,Igen,Innovációs És Technológiai Minisztérium,,Observer Budapest Médiafigyelő Kft.,Kft.,-9 days
EKR001541922019,Nemzeti Kommunikációs Hivatal,15827186241,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,Edutus-World Robot Olympiad 2019 rendezv 3 részben,Szolgáltatás megrendelés,679442612.0,HUF,HU21,2019-10-01,1.0,"10834730244,HU10834730",Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zártkörűen Működő Részvénytársaság,79950000-8,Nem,Igen,Nem,2019-12-29,Nem,Nem,Igen,Nemzeti Kommunikációs Hivatal,,Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.,Zrt.,-89 days
EKR001544532019,Magyar Államkincstár,15329970241,U - Egyéb típus:,KL - Gazdasági és pénzügyek,Uniós eljárásrend,Hirdetmény közzététele nélküli tárgyalásos eljárás,Elektronikus másolatok készítése,Szolgáltatás megrendelés,339700000.0,HUF,HU110,2020-02-18,1.0,10383571244,Gamax Informatikai És MunkaerőKölcsönző Kft.,72322000-8,Nem,Igen,Nem,2020-03-03,Nem,Nem,Igen,Magyar Államkincstár,,Gamax Informatikai És Munkaerőkölcsönző Kft.,Kft.,-14 days
EKR001554922019,Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,14605749244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Hirdetmény közzététele nélküli tárgyalásos eljárás,Növényzetápolási kisgépek karbantartása - Fejér,Szolgáltatás megrendelés,5500000.0,HUF,HU211,2020-06-26,1.0,"23051344207,HU23051344",AgroFelcsút Kereskedelmi És Szolgáltató Kft.,50530000-9,Nem,Igen,Igen,2020-07-20,Nem,Nem,Igen,Magyar Közút Nonprofit Zrt.,Zrt.,Agrofelcsút Kft.,Kft.,-24 days
EKR001557602019,Nif Nemzeti Infrastruktúra Fejlesztő Zártkörűen Működő Részvénytársaság,11906522241,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,87-89. sz. főút Szombathely ÉK elkerülő tervezése,Szolgáltatás megrendelés,174840000.0,HUF,HU110,2020-06-08,4.0,"13099581220,HU13099581",Pannonway Építő Kft.,71320000-7,Nem,Igen,Igen,2020-06-16,Igen,Nem,Igen,Nif Nemzeti Infrastruktúra Fejlesztő Zrt.,Zrt.,Pannonway Építő Kft.,Kft.,-8 days
EKR001562592019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,RDF/RDF UA haszonanyag szállítása és hasznosítása,Szolgáltatás megrendelés,517782320.0,HUF,HU331,2020-03-09,2.0,"10324602244,HU10324602",DunaDráva Cement Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2020-09-03,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Dunadráva Cement Kft.,Kft.,-178 days
EKR001562592019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,RDF/RDF UA haszonanyag szállítása és hasznosítása,Szolgáltatás megrendelés,517782320.0,HUF,HU232,2020-03-09,5.0,"13754448202,HU13754448",Lafarge Cement Magyarország Gyártó És Kereskedelmi Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2020-09-03,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Lafarge Cement Magyarország Gyártó És Kft.,Kft.,-178 days
EKR001562592019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,RDF/RDF UA haszonanyag szállítása és hasznosítása,Szolgáltatás megrendelés,517782320.0,HUF,HU213,2020-03-11,5.0,"12799776218,HU12799776",Sárvári Huke Hulladék Kezelési Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Igen,2020-09-03,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Sárvári Huke Hulladék Kezelési Kft.,Kft.,-176 days
EKR001562592019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,RDF/RDF UA haszonanyag szállítása és hasznosítása,Szolgáltatás megrendelés,517782320.0,HUF,HU311,2020-03-09,2.0,13714789210,Geosol Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2020-09-03,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Geosol Kft.,Kft.,-178 days
EKR001562592019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,RDF/RDF UA haszonanyag szállítása és hasznosítása,Szolgáltatás megrendelés,517782320.0,HUF,HU311,2020-03-09,2.0,13874072241,StLogistic Fuvarozási És Szállítmányozási Kft.,90500000-2,Nem,Igen,Igen,2020-09-03,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Stlogistic Fuvarozási És Szállítmányozási Kft.,Kft.,-178 days
