Eljárás EKR azonosító,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Teljesítés helye NUTS-kód(ok),Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő neve,Fő CPV-kód(ok),A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Nyertes ajánlattevő kkv,Hirdetmény közzétételének dátuma,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,Ajánlatkérő szervezet neve - tisztított,Ajánlatkérő Cégtípus,Nyertes ajánlattevő neve - tisztított,Nyertes Cégtípus,Hirdetmény és szerződés megkötés között eltelt idő,procurement_id
EKR001541922019,Nemzeti Kommunikációs Hivatal,15827186241,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,Edutus-World Robot Olympiad 2019 rendezv 3 részben,Szolgáltatás megrendelés,679442612.0,HUF,HU21,2019-10-01,1.0,"10834730244,HU10834730",Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zártkörűen Működő Részvénytársaság,79950000-8,Nem,Igen,Nem,2019-12-29,Nem,Nem,Igen,Nemzeti Kommunikációs Hivatal,,Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.,Zrt.,-89 days,EKR001541922019_Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.
EKR001554302019,Óbudai Egyetem,15773063241,U - Egyéb típus:,KL - Oktatás,Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,SH biztosítás beszerzése 2020,Szolgáltatás megrendelés,48000000.0,HUF,HU,2020-02-28,2.0,"10456017444,HU 17781224",Uniqa Biztosító Zártkörűen Működő Részvénytársaság,66512000-2,Nem,Igen,Nem,2020-03-05,Igen,Nem,Igen,Óbudai Egyetem,,Uniqa Biztosító Zrt.,Zrt.,-6 days,EKR001554302019_Uniqa Biztosító Zrt.
EKR000463012018,Nif Nemzeti Infrastruktúra Fejlesztő Zártkörűen Működő Részvénytársaság,11906522241,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Nyíregyh.38sz főút és 100.sz vasútv.keresztez.elők,Szolgáltatás megrendelés,227500000.0,HUF,HU11,2019-02-06,3.0,"13842217241,HU13842217",Főmterv Mérnöki Tervező Zrt.,71320000-7,Nem,Igen,Nem,2019-02-18,Igen,Nem,Igen,Nif Nemzeti Infrastruktúra Fejlesztő Zrt.,Zrt.,Főmterv Mérnöki Tervező Zrt.,Zrt.,-12 days,EKR000463012018_Főmterv Mérnöki Tervező Zrt.
EKR001621682019,Nemzeti Kommunikációs Hivatal,15827186241,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,Mikulás ünnepség a NISZ Zrt. részére,Szolgáltatás megrendelés,23950000.0,HUF,HU110,2019-11-26,1.0,"10834730244,HU10834730",Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zártkörűen Működő Részvénytársaság,79950000-8,Nem,Igen,Nem,2020-02-03,Nem,Nem,Igen,Nemzeti Kommunikációs Hivatal,,Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.,Zrt.,-69 days,EKR001621682019_Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.
EKR000467412018,GyőrSopronEbenfurti Vasút Zártkörűen Működő Részvénytársaság,10008676208,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Biztosítási szerződések GYSEV Zrt. részére,Szolgáltatás megrendelés,543077269.0,HUF,HU221,2018-12-05,2.0,"10337587444,HU17780089",Allianz Hungária Zrt.,66510000-8,Nem,Igen,Nem,2018-12-20,Igen,Nem,Igen,Győrsopronebenfurti Vasút Zrt.,Zrt.,Allianz Hungária Zrt.,Zrt.,-15 days,EKR000467412018_Allianz Hungária Zrt.
EKR000467412018,GyőrSopronEbenfurti Vasút Zártkörűen Működő Részvénytársaság,10008676208,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Biztosítási szerződések GYSEV Zrt. részére,Szolgáltatás megrendelés,543077269.0,HUF,HU221,2018-12-05,1.0,"10337587444,HU17780089",Allianz Hungária Zrt.,66510000-8,Nem,Igen,Nem,2018-12-20,Igen,Nem,Igen,Győrsopronebenfurti Vasút Zrt.,Zrt.,Allianz Hungária Zrt.,Zrt.,-15 days,EKR000467412018_Allianz Hungária Zrt.
EKR000001412020,Nemzeti Kommunikációs Hivatal,15827186241,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,MNV Zrt.humáp. tev. kommunik. mediaügynöks.feladat,Szolgáltatás megrendelés,28000000.0,HUF,HU11,2019-10-16,1.0,"10834730244,HU10834730",Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zártkörűen Működő Részvénytársaság,79950000-8,Nem,Igen,Nem,,Nem,Nem,Igen,Nemzeti Kommunikációs Hivatal,,Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.,Zrt.,,EKR000001412020_Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.
EKR000006772020,Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,14605749244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Közúti határátkelők akadálymentesítése,Szolgáltatás megrendelés,173770600.0,HUF,HU110,2020-10-05,6.0,"13260534243,HU13260534","Via Futura Mérnöki, Tanácsadó És Szolgáltató Kft.",71320000-7,Nem,Igen,Igen,2020-10-18,Igen,Nem,Igen,Magyar Közút Nonprofit Zrt.,Zrt.,"Via Futura Mérnöki, Tanácsadó És Kft.",Kft.,-13 days,"EKR000006772020_Via Futura Mérnöki, Tanácsadó És Kft."
EKR000014582020,Nemzeti Kommunikációs Hivatal,15827186241,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,ITM - Ázsia-Európa Találkozó,Szolgáltatás megrendelés,206172712.0,HUF,HU,2019-11-22,1.0,"10834730244,HU10834730",Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zártkörűen Működő Részvénytársaság,79950000-8,Nem,Igen,Nem,,Nem,Nem,Igen,Nemzeti Kommunikációs Hivatal,,Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.,Zrt.,,EKR000014582020_Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.
EKR000046952020,Nif Nemzeti Infrastruktúra Fejlesztő Zártkörűen Működő Részvénytársaság,11906522241,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,H5 HÉV vonal tervezési feladatok,Szolgáltatás megrendelés,1755000000.0,HUF,HU110,2020-07-07,2.0,"10554885243,HU10554885",Utiber Közúti Beruházó Kft,71320000-7,Igen,Igen,Igen,2020-07-20,Igen,Nem,Igen,Nif Nemzeti Infrastruktúra Fejlesztő Zrt.,Zrt.,Utiber Közúti Beruházó Kft.,Kft.,-13 days,EKR000046952020_Utiber Közúti Beruházó Kft.
