Eljárás EKR azonosító,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Teljesítés helye NUTS-kód(ok),Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő neve,Fő CPV-kód(ok),A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Nyertes ajánlattevő kkv,Hirdetmény közzétételének dátuma,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,Ajánlatkérő szervezet neve - tisztított,Ajánlatkérő Cégtípus,Nyertes ajánlattevő neve - tisztított,Nyertes Cégtípus,Hirdetmény és szerződés megkötés között eltelt idő,procurement_id
EKR001531392019,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",12464780251,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Tanuszoda kivitelezése Mosonmagyaróváron,Építési beruházás,788155483.0,HUF,HU221,2020-12-02,4.0,26739919243,Falcon Global Zártkörűen Működő Részvénytársaság,45000000-7,Nem,Igen,Igen,2020-12-08,Igen,Nem,Igen,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",Zrt.,Falcon Global Zrt.,Zrt.,-6 days,EKR001531392019_Falcon Global Zrt.
EKR001531392019,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",12464780251,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Tanuszoda kivitelezése Mosonmagyaróváron,Építési beruházás,788155483.0,HUF,HU221,2020-12-02,4.0,"12525689241,HU12525689",Octopus Invest Szolgáltató Korlátolt Felelősségű Társaság,45000000-7,Nem,Igen,Igen,2020-12-08,Igen,Nem,Igen,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",Zrt.,Octopus Invest Kft.,Kft.,-6 days,EKR001531392019_Octopus Invest Kft.
EKR001534692019,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",12464780251,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Kézilabda munkacsarnok kivitelez. Balassagyarmaton,Építési beruházás,1166620000.0,HUF,HU313,2021-03-16,4.0,"12073601213,HU12073601",Pharos 95 Sportpályaépítő Kft.,45000000-7,Nem,Igen,Igen,2021-03-31,Igen,Nem,Igen,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",Zrt.,Pharos 95 Sportpályaépítő Kft.,Kft.,-15 days,EKR001534692019_Pharos 95 Sportpályaépítő Kft.
EKR001534762019,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",12464780251,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Kézilabda munkacsarnok kivitelezése Bácsalmáson,Építési beruházás,1062482027.0,HUF,HU331,2021-01-11,3.0,"10381603203,HU10381603",Modinvest ÉpitőipariBeruházóÉs Kereskedelmi Korlátolt Felelősségű Társaság,45000000-7,Nem,Igen,Igen,2021-01-21,Igen,Nem,Igen,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",Zrt.,Modinvest Épitőipariberuházóés Kft.,Kft.,-10 days,EKR001534762019_Modinvest Épitőipariberuházóés Kft.
EKR001536652019,Nif Nemzeti Infrastruktúra Fejlesztő Zártkörűen Működő Részvénytársaság,11906522241,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,"Cegléd Mérnökség irodaép. átalakítása, kivitelezés",Építési beruházás,285172140.0,HUF,HU120,2020-08-27,3.0,"23037108203,HU23037108,03-10-100434",Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság,45000000-7,Nem,Igen,Igen,2020-08-31,Igen,Nem,Igen,Nif Nemzeti Infrastruktúra Fejlesztő Zrt.,Zrt.,Horváth Építőmester Építőipari Zrt.,Zrt.,-4 days,EKR001536652019_Horváth Építőmester Építőipari Zrt.
EKR001536722019,Nif Nemzeti Infrastruktúra Fejlesztő Zártkörűen Működő Részvénytársaság,11906522241,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Monori mérnökségi telep raktárépülete átalakítása,Építési beruházás,98814656.0,HUF,HU120,2020-07-24,3.0,"23037108203,HU23037108,03-10-100434",Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság,45000000-7,Nem,Igen,Igen,2020-08-05,Igen,Nem,Igen,Nif Nemzeti Infrastruktúra Fejlesztő Zrt.,Zrt.,Horváth Építőmester Építőipari Zrt.,Zrt.,-12 days,EKR001536722019_Horváth Építőmester Építőipari Zrt.
EKR001539332019,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",12464780251,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Multicsarnok tervezése és kivitelezése Kisvárdán,Építési beruházás,3266047410.0,HUF,HU323,2020-12-31,3.0,"11724483241,HU11724483","Nyírépszer Hungária Építőipari, Kereskedelmi És Szolgáltató Kft.",45000000-7,Nem,Igen,Igen,2021-01-21,Igen,Nem,Igen,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",Zrt.,Nyírépszer Hungária Építőipari Kft.,Kft.,-21 days,EKR001539332019_Nyírépszer Hungária Építőipari Kft.
EKR001541092019,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",12464780251,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Szekszárdi Vendéglátó Szakképző Iskola felújítása,Építési beruházás,988890369.0,HUF,HU233,2020-10-26,5.0,11295145217,"SzC Stúdió Építőipari, Kereskedelmi És Szolgáltató Kft.",45000000-7,Nem,Igen,Igen,2021-01-10,Igen,Nem,Igen,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",Zrt.,Szc Stúdió Építőipari Kft.,Kft.,-76 days,EKR001541092019_Szc Stúdió Építőipari Kft.
EKR001563762019,Nkm Áramhálózati Kft.,13792679206,,KO - Villamos energia,Uniós eljárásrend,Keretmegállapodás alapján verseny újranyitás,"Kiemelt tervezési, kivitelezési munkák - III.",Építési beruházás,2500000000.0,HUF,HU33,2020-03-31,1.0,"14498866241,HU14498866","ÉszakBudai Tervező, Szerelő És Szolgáltató Zártkörűen Működő Részvénytársaság",45231400-9,Nem,Igen,Igen,2020-04-19,Igen,Nem,Igen,Nkm Áramhálózati Kft.,Kft.,"Északbudai Tervező, Szerelő És Zrt.",Zrt.,-19 days,"EKR001563762019_Északbudai Tervező, Szerelő És Zrt."
EKR001563762019,Nkm Áramhálózati Kft.,13792679206,,KO - Villamos energia,Uniós eljárásrend,Keretmegállapodás alapján verseny újranyitás,"Kiemelt tervezési, kivitelezési munkák - III.",Építési beruházás,2500000000.0,HUF,HU33,2020-03-30,2.0,"11013714202,HU11013714","Treszner Villamosipari, Szolgáltató Kft",45231400-9,Nem,Igen,Igen,2020-04-19,Igen,Nem,Igen,Nkm Áramhálózati Kft.,Kft.,Treszner Villamosipari Kft.,Kft.,-20 days,EKR001563762019_Treszner Villamosipari Kft.
