Eljárás EKR azonosító,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Teljesítés helye NUTS-kód(ok),Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő neve,Fő CPV-kód(ok),A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Nyertes ajánlattevő kkv,Hirdetmény közzétételének dátuma,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,Ajánlatkérő szervezet neve - tisztított,Ajánlatkérő Cégtípus,Nyertes ajánlattevő neve - tisztított,Nyertes Cégtípus,Hirdetmény és szerződés megkötés között eltelt idő,procurement_id
EKR001540992019,Innovációs És Technológiai Minisztérium,15764412241,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Kormányzati médiamonitor szolgáltatás (2020-2022),Szolgáltatás megrendelés,5001960000.0,HUF,HU110,2020-02-17,1.0,"10688515242,HU10688515,01-09-161465",Observer Budapest Médiafigyelő Kft.,79400000-8,Nem,Igen,Igen,2020-02-26,Igen,Nem,Igen,Innovációs És Technológiai Minisztérium,,Observer Budapest Médiafigyelő Kft.,Kft.,-9 days,EKR001540992019_Observer Budapest Médiafigyelő Kft.
EKR001541922019,Nemzeti Kommunikációs Hivatal,15827186241,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,Edutus-World Robot Olympiad 2019 rendezv 3 részben,Szolgáltatás megrendelés,679442612.0,HUF,HU21,2019-10-01,1.0,"10834730244,HU10834730",Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zártkörűen Működő Részvénytársaság,79950000-8,Nem,Igen,Nem,2019-12-29,Nem,Nem,Igen,Nemzeti Kommunikációs Hivatal,,Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.,Zrt.,-89 days,EKR001541922019_Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.
EKR001554922019,Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,14605749244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Hirdetmény közzététele nélküli tárgyalásos eljárás,Növényzetápolási kisgépek karbantartása - Fejér,Szolgáltatás megrendelés,5500000.0,HUF,HU211,2020-06-26,1.0,"23051344207,HU23051344",AgroFelcsút Kereskedelmi És Szolgáltató Kft.,50530000-9,Nem,Igen,Igen,2020-07-20,Nem,Nem,Igen,Magyar Közút Nonprofit Zrt.,Zrt.,Agrofelcsút Kft.,Kft.,-24 days,EKR001554922019_Agrofelcsút Kft.
EKR000458432018,Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,14605749244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Renault gyártmányú nehézteher gépjárm. karb. 2018,Szolgáltatás megrendelés,750000000.0,HUF,HU,2019-06-20,1.0,"11841674244,HU11841674",Volvo Hungária Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,50112000-3,Nem,Igen,Nem,2019-07-29,Igen,Nem,Igen,Magyar Közút Nonprofit Zrt.,Zrt.,Volvo Hungária Kft.,Kft.,-39 days,EKR000458432018_Volvo Hungária Kft.
EKR000458432018,Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,14605749244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Renault gyártmányú nehézteher gépjárm. karb. 2018,Szolgáltatás megrendelés,750000000.0,HUF,HU,2019-07-18,1.0,"11841674244,HU11841674",Volvo Hungária Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,50112000-3,Nem,Igen,Nem,2019-07-29,Igen,Nem,Igen,Magyar Közút Nonprofit Zrt.,Zrt.,Volvo Hungária Kft.,Kft.,-11 days,EKR000458432018_Volvo Hungária Kft.
EKR000458432018,Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,14605749244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Renault gyártmányú nehézteher gépjárm. karb. 2018,Szolgáltatás megrendelés,750000000.0,HUF,HU,2019-06-20,2.0,"11841674244,HU11841674",Volvo Hungária Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,50112000-3,Nem,Igen,Nem,2019-07-29,Igen,Nem,Igen,Magyar Közút Nonprofit Zrt.,Zrt.,Volvo Hungária Kft.,Kft.,-39 days,EKR000458432018_Volvo Hungária Kft.
EKR001620582019,Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,14605749244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Lefix útszegély elem beszerzése,Árubeszerzés,94795007.0,HUF,HU,2020-05-05,1.0,13092182243,BgGraspointner Kft.,44114200-4,Nem,Igen,Igen,2020-05-12,Nem,Nem,Igen,Magyar Közút Nonprofit Zrt.,Zrt.,Bggraspointner Kft.,Kft.,-7 days,EKR001620582019_Bggraspointner Kft.
EKR001609532019,Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,14605749244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Koronaélen kívüli területek kaszálása 2019,Szolgáltatás megrendelés,799000000.0,HUF,HU223|HU221|HU222,2020-07-06,2.0,"26257745207, HU26257745",KifüKar Zártkörűen Működő Részvénytársaság,77310000-6,Nem,Igen,Igen,2020-07-14,Igen,Nem,Igen,Magyar Közút Nonprofit Zrt.,Zrt.,Kifükar Zrt.,Zrt.,-8 days,EKR001609532019_Kifükar Zrt.
EKR001609532019,Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,14605749244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Koronaélen kívüli területek kaszálása 2019,Szolgáltatás megrendelés,799000000.0,HUF,HU120|HU311|HU313|HU312,2020-07-06,3.0,"26257745207, HU26257745",KifüKar Zártkörűen Működő Részvénytársaság,77310000-6,Nem,Igen,Igen,2020-07-14,Igen,Nem,Igen,Magyar Közút Nonprofit Zrt.,Zrt.,Kifükar Zrt.,Zrt.,-8 days,EKR001609532019_Kifükar Zrt.
EKR001609082019,Nemzeti Kommunikációs Hivatal,15827186241,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Magyarországot népszerűsítő szakmai rendezvények,Szolgáltatás megrendelés,263263150.0,HUF,UKI|PL91|FR10|CZ01|NL32|HU|00,2020-11-23,5.0,"13354921243,HU13354921",Roxer Kommunikációs Ügynökség Kft.,79952000-2,Igen,Igen,Igen,2020-12-03,,,,Nemzeti Kommunikációs Hivatal,,Roxer Kommunikációs Ügynökség Kft.,Kft.,-10 days,EKR001609082019_Roxer Kommunikációs Ügynökség Kft.
