Eljárás EKR azonosító,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Teljesítés helye NUTS-kód(ok),Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő neve,Fő CPV-kód(ok),A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Nyertes ajánlattevő kkv,Hirdetmény közzétételének dátuma,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,Ajánlatkérő szervezet neve - tisztított,Ajánlatkérő Cégtípus,Nyertes ajánlattevő neve - tisztított,Nyertes Cégtípus,Hirdetmény és szerződés megkötés között eltelt idő,procurement_id
EKR001537992019,Szegedi Tudományegyetem,15329815206,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,"Vegyszer, fogyóeszköz GINOP-2.3.2-15-2016-00018",Árubeszerzés,58660166.0,HUF,HU333,2020-04-29,1.0,"12395152242,HU12395152",Rk Tech Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,33696500-0,Igen,Igen,Igen,2020-05-14,Nem,Nem,Igen,Szegedi Tudományegyetem,,Rk Tech Kft.,Kft.,-15 days,EKR001537992019_Rk Tech Kft.
EKR001537992019,Szegedi Tudományegyetem,15329815206,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,"Vegyszer, fogyóeszköz GINOP-2.3.2-15-2016-00018",Árubeszerzés,58660166.0,HUF,HU333,2020-04-29,3.0,"10650400209,HU10650400,09-09-001214",Vwr International Korlátolt Felelősségű Társaság,33696500-0,Igen,Igen,Nem,2020-05-14,Nem,Nem,Igen,Szegedi Tudományegyetem,,Vwr International Kft.,Kft.,-15 days,EKR001537992019_Vwr International Kft.
EKR001537992019,Szegedi Tudományegyetem,15329815206,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,"Vegyszer, fogyóeszköz GINOP-2.3.2-15-2016-00018",Árubeszerzés,58660166.0,HUF,HU333,2020-04-29,4.0,"12395152242,HU12395152",Rk Tech Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,33696500-0,Igen,Igen,Igen,2020-05-14,Nem,Nem,Igen,Szegedi Tudományegyetem,,Rk Tech Kft.,Kft.,-15 days,EKR001537992019_Rk Tech Kft.
EKR001537992019,Szegedi Tudományegyetem,15329815206,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,"Vegyszer, fogyóeszköz GINOP-2.3.2-15-2016-00018",Árubeszerzés,58660166.0,HUF,HU333,2020-04-29,3.0,"12395152242,HU12395152",Rk Tech Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,33696500-0,Igen,Igen,Igen,2020-05-14,Nem,Nem,Igen,Szegedi Tudományegyetem,,Rk Tech Kft.,Kft.,-15 days,EKR001537992019_Rk Tech Kft.
EKR001537992019,Szegedi Tudományegyetem,15329815206,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,"Vegyszer, fogyóeszköz GINOP-2.3.2-15-2016-00018",Árubeszerzés,58660166.0,HUF,HU333,2020-04-29,2.0,"12395152242,HU12395152",Rk Tech Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,33696500-0,Igen,Igen,Igen,2020-05-14,Nem,Nem,Igen,Szegedi Tudományegyetem,,Rk Tech Kft.,Kft.,-15 days,EKR001537992019_Rk Tech Kft.
EKR001537992019,Szegedi Tudományegyetem,15329815206,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,"Vegyszer, fogyóeszköz GINOP-2.3.2-15-2016-00018",Árubeszerzés,58660166.0,HUF,HU333,2020-04-29,2.0,"10650400209,HU10650400,09-09-001214",Vwr International Korlátolt Felelősségű Társaság,33696500-0,Igen,Igen,Nem,2020-05-14,Nem,Nem,Igen,Szegedi Tudományegyetem,,Vwr International Kft.,Kft.,-15 days,EKR001537992019_Vwr International Kft.
EKR001537992019,Szegedi Tudományegyetem,15329815206,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,"Vegyszer, fogyóeszköz GINOP-2.3.2-15-2016-00018",Árubeszerzés,58660166.0,HUF,HU333,2020-04-29,1.0,"10650400209,HU10650400,09-09-001214",Vwr International Korlátolt Felelősségű Társaság,33696500-0,Igen,Igen,Nem,2020-05-14,Nem,Nem,Igen,Szegedi Tudományegyetem,,Vwr International Kft.,Kft.,-15 days,EKR001537992019_Vwr International Kft.
EKR001553512019,Markusovszky Egyetemi Oktatókórház,15813860218,U - Egyéb típus:,KL - Egészségügy,Uniós eljárásrend,Nyílt eljárás,Gasztroenterológiai endoszkópos anyagok beszerzése,Árubeszerzés,217340872.0,HUF,HU222,2020-11-09,1.0,"10361863241,HU10361863","Allegro Kereskedelmi, Kivitelező És Szolgáltató Korlátolt Felelősségű Társaság",33140000-3,Nem,Igen,Igen,2020-11-18,Nem,Nem,Igen,Markusovszky Egyetemi Oktatókórház,,"Allegro , Kivitelező És Kft.",Kft.,-9 days,"EKR001553512019_Allegro , Kivitelező És Kft."
EKR001579512019,Szegedi Tudományegyetem,15329815206,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,Eszközbeszerzés GINOP projektek keretében II.,Árubeszerzés,63957104.0,HUF,HU333,2020-10-15,3.0,"12395152242,HU12395152",Rk Tech Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,38000000-5,Igen,Igen,Igen,2020-10-28,Nem,Nem,Igen,Szegedi Tudományegyetem,,Rk Tech Kft.,Kft.,-13 days,EKR001579512019_Rk Tech Kft.
EKR001580312019,Pécsi Tudományegyetem,15329798202,U - Egyéb típus:,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,MVP ÁOK eszközbeszerzés 15.,Árubeszerzés,74780427.0,HUF,HU231,2020-07-15,1.0,"13547620213,HU13547620","Biotech Hungary Kereskedelmi, Szolgáltató És Tanácsadó Korlátolt Felelősségű Társaság",38000000-5,Nem,Igen,Igen,2020-07-27,Igen,Nem,Igen,Pécsi Tudományegyetem,,"Biotech Hungary , És Tanácsadó Kft.",Kft.,-12 days,"EKR001580312019_Biotech Hungary , És Tanácsadó Kft."
